2 3/8	UN 6	6	4,2333	2.3750	60,3250	2.2667	2.1946	2 3/8 - 6 UN 6
2 3/8	UN 8	8	3,1750	2.3750	60,3250	2.2938	2.2397	2 3/8 - 8 UN 8
2 3/8	UN 12	12	2,1167	2.3750	60,3250	2.3209	2.2848	2 3/8 - 12 UN 12
2 3/8	UN 16	16	1,5875	2.3750	60,3250	2.3344	2.3073	2 3/8 - 16 UN 16
2 3/8	UN 20	20	1,2700	2.3750	60,3250	2.3425	2.3209	2 3/8 - 20 UN 20
2 1/2	UNC	4	6,3500	2.5000	63,5000	2.3376	2.2294	2 1/2 - 4 UNC
2 1/2	UN 6	6	4,2333	2.5000	63,5000	2.3917	2.3196	2 1/2 - 6 UN 6
2 1/2	UN 8	8	3,1750	2.5000	63,5000	2.4188	2.3647	2 1/2 - 8 UN 8
2 1/2	UN 12	12	2,1167	2.5000	63,5000	2.4459	2.4098	2 1/2 - 12 UN 12
2 1/2	UN 16	16	1,5875	2.5000	63,5000	2.4594	2.4323	2 1/2 - 16 UN 16
2 1/2	UN 20	20	1,2700	2.5000	63,5000	2.4675	2.4459	1 2/2 - 20 UN 20
2 5/8	UN 4	4	6,3500	2.6250	66,6750	2.4626	2.3544	2 5/8 - 4 UN 4
2 5/8	UN 6	6	4,2333	2.6250	66,6750	2.5167	2.4446	2 5/8 - 6 UN 6
2 5/8	UN 8	8	3,1750	2.6250	66,6750	2.5438	2.4897	2 5/8 - 8 UN 8
2 5/8	UN 12	12	2,1167	2.6250	66,6750	2.5709	2.5348	2 5/8 - 12 UN 12
2 5/8	UN 16	16	1,5875	2.6250	66,6750	2.5844	2.5573	2 5/8 - 16 UN 16
2 5/8	UN 20	20	1,2700	2.6250	66,6750	2.5925	2.5709	2 5/8 - 20 UN 20
2 3/4	UNC	4	6,3500	2.7500	69,8500	2.5876	2.4794	2 3/4 - 4 UNC
2 3/4	UN 6	6	4,2333	2.7500	69,8500	2.6417	2.5696	2 3/4 - 6 UN 6
2 3/4	UN 8	8	3,1750	2.7500	69,8500	2.6688	2.6147	2 3/4 - 8 UN 8
2 3/4	UN 12	12	2,1167	2.7500	69,8500	2.6959	2.6598	2 3/4 - 12 UN 12
2 3/4	UN 16	16	1,5875	2.7500	69,8500	2.7094	2.6823	2 3/4 - 16 UN 16
2 3/4	UN 20	20	1,2700	2.7500	69,8500	2,7175	2.6959	2 3/4 - 20 UN 20
2 7/8	UN 4	4	6,3500	2.8750	73,0250	2.7126	2.6044	2 7/8 - 4 UN 4
2 7/8	UN 6	6	4,2333	2.8750	73,0250	2.7667	2.6946	2 7/8 - 6 UN 6
2 7/8	UN 8	8	3,1750	2.8750	73,0250	2.7938	2.7397	2 7/8 - 8 UN 8
2 7/8	UN 12	12	2,1167	2.8750	73,0250	2.8209	2.7848	2 7/8 - 12 UN 12
2 7/8	UN 16	16	1,5875	2.8750	73,0250	2.8344	2.8073	2 7/8 - 16 UN 16
2 7/8	UN 20	20	1,2700	2.8750	73,0250	2.8425	2.8209	2 7/8 - 20 UN 20
